id,first_name,last_name,position,height,weight,jersey_number,college,country,draft_year,draft_round,draft_number,team_id,team_abbreviation,team_city,team_name,team_conference,team_division
266,Skal,Labissiere,F,6-10,235,7,Kentucky,Haiti,2016.0,1.0,28.0,26,SAC,Sacramento,Kings,West,Pacific
267,Jeremy,Lamb,G,6-5,180,26,Connecticut,USA,2012.0,1.0,12.0,26,SAC,Sacramento,Kings,West,Pacific
268,Zach,LaVine,G,6-5,200,8,UCLA,USA,2014.0,1.0,13.0,26,SAC,Sacramento,Kings,West,Pacific
269,Jake,Layman,F,6-8,209,10,Maryland,USA,2016.0,2.0,47.0,2,BOS,Boston,Celtics,East,Atlantic
270,TJ,Leaf,F,6-10,222,18,UCLA,USA,2017.0,1.0,18.0,12,IND,Indiana,Pacers,East,Central
271,Courtney,Lee,G,6-5,215,1,Western Kentucky,USA,2008.0,1.0,22.0,15,MEM,Memphis,Grizzlies,West,Southwest
272,Damion,Lee,G,6-6,210,10,Drexel,USA,,,,24,PHX,Phoenix,Suns,West,Pacific
273,Alex,Len,C,7-0,250,27,Maryland,Ukraine,2013.0,1.0,5.0,20,NYK,New York,Knicks,East,Atlantic
274,Kawhi,Leonard,F,6-6,225,2,San Diego State,USA,2011.0,1.0,15.0,13,LAC,LA,Clippers,West,Pacific
275,Meyers,Leonard,F-C,7-0,260,3,Illinois,USA,2012.0,1.0,11.0,17,MIL,Milwaukee,Bucks,East,Central
276,Jon,Leuer,F,6-10,228,30,Wisconsin,USA,2011.0,2.0,40.0,15,MEM,Memphis,Grizzlies,West,Southwest
277,Caris,LeVert,G,6-7,205,8,Michigan,USA,2016.0,1.0,20.0,9,DET,Detroit,Pistons,East,Central
278,Damian,Lillard,G,6-2,200,0,Weber State,USA,2012.0,1.0,6.0,25,POR,Portland,Trail Blazers,West,Northwest
279,Jeremy,Lin,G,6-3,200,17,Harvard,USA,,,,11,HOU,Houston,Rockets,West,Southwest
280,Shaun,Livingston,G,6-7,192,34,Peoria Central HS (IL),USA,2004.0,1.0,4.0,10,GSW,Golden State,Warriors,West,Pacific
281,Zach,Lofton,G,6-4,180,18,New Mexico State,USA,,,,9,DET,Detroit,Pistons,East,Central
282,Kevon,Looney,F,6-9,222,55,UCLA,USA,2015.0,1.0,30.0,19,NOP,New Orleans,Pelicans,West,Southwest
283,Brook,Lopez,C,7-1,282,11,Stanford,USA,2008.0,1.0,10.0,13,LAC,LA,Clippers,West,Pacific
284,Robin,Lopez,C,7-0,281,33,Stanford,USA,2008.0,1.0,15.0,17,MIL,Milwaukee,Bucks,East,Central
285,Kevin,Love,F-C,6-10,251,42,UCLA,USA,2008.0,1.0,5.0,29,UTA,Utah,Jazz,West,Northwest
286,Kyle,Lowry,G,6-0,196,7,Villanova,USA,2006.0,1.0,24.0,23,PHI,Philadelphia,76ers,East,Atlantic
287,Jordan,Loyd,G,6-4,210,8,Indianapolis,USA,,,,28,TOR,Toronto,Raptors,East,Atlantic
288,Timothe,Luwawu-Cabarrot,G-F,6-7,215,7,Mega Basket,France,2016.0,1.0,24.0,24,PHX,Phoenix,Suns,West,Pacific
289,Tyler,Lydon,F,6-10,225,20,Syracuse,USA,2017.0,1.0,24.0,8,DEN,Denver,Nuggets,West,Northwest
